id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
176790,187303,Ballistic,NULL,1999-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
141982,173417,Balloon De Fight,NULL,1999-06-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108737,187876,Banco Imobiliário 2000,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
132598,3313,Barbie Super Sports,NULL,1999-12-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
160577,200588,Barbie: Ocean Discovery,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116170,3312,Barbie: Race & Ride,NULL,1999-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77348,167075,Bardysh: Kromeford no Juunin,NULL,1999-07-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
167847,159153,Baron of Blood,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116613,43992,Baseball Stars Color,NULL,1999-03-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
162442,49867,Bass Masters Classic,NULL,1999-12-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
117275,3420,BassMasters 2000,NULL,1999-12-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83794,38541,Battle Bakraid,NULL,1999-05-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69535,3190,Battle Hunter,NULL,1999-12-22 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
150201,206249,Battleship,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
66472,47686,BattleTanx,NULL,1999-01-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
165372,47685,BattleTanx: Global Assault,"On January 13, 2006, a Queenlord, Cassandra, is spying on Griffin Spade's family, telling her troops to kidnap Griffin's son Brandon and kill everyone else. Griffin and his army manage to push back the invaders, but Cassandra soon turns the tables by mind-controlling Griffin's own army. Griffin and Madison manage to escape San Francisco and begin chasing Cassandra across the United States, eventually cornering her in Washington, D.C.. Cassandra, however, escapes with Brandon to Great Britain; Griffin and Madison follow. They build a new army in Europe, and chase Cassandra through England, France and Germany. While in Paris, they discover Cassandra released the virus in 2001 to kill every female on Earth who didn't have the power of the Edge.",1999-10-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
56870,70632,beatmania 4thMIX ~the beat goes on~,NULL,1999-04-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
119851,79698,beatmania 5thMIX -Time to get down-,NULL,1999-09-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1207,94744,beatmania complete MIX,NULL,1999-01-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
47857,135089,beatmania for WonderSwan,NULL,1999-04-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24711,91769,Beatmania GB,NULL,1999-03-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
117772,92604,Beatmania GB2 Gotcha Mix,NULL,1999-11-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
132307,94920,beatmania IIDX,NULL,1999-02-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
50888,94021,beatmania IIDX 2nd style,NULL,1999-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
